config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
sasrec-256-2-2-0.3-0.001.yaml,256,2,2,0.3,0.001,42,0.02298,0.04608,6,0.01133,0.0236,6,"(256, 2, 2, 0.3, 0.001)","[42, 1]"
sasrec-64-1-8-0.2-0.01.yaml,64,1,8,0.2,0.01,42,0.02133,0.04147,5,0.01111,0.02229,5,"(64, 1, 8, 0.2, 0.01)",[42]
128-4-2-0.3-0.0005-1.yaml,128,4,2,0.3,0.0005,1,0.0239,0.04816,13,0.011,0.02312,13,"(128, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-2-2-0.3-0.0005.yaml,256,2,2,0.3,0.0005,42,0.02413,0.04683,12,0.01098,0.02366,12,"(256, 2, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-3-2-0.2-0.0005.yaml,256,3,2,0.2,0.0005,42,0.02423,0.04846,11,0.01094,0.02312,11,"(256, 3, 2, 0.2, 0.0005)",[42]
sasrec-256-3-8-0.3-0.001.yaml,256,3,8,0.3,0.001,42,0.02336,0.04787,6,0.01092,0.02401,6,"(256, 3, 8, 0.3, 0.001)",[42]
64-4-2-0.3-0.001-1.yaml,64,4,2,0.3,0.001,1,0.02429,0.04697,12,0.01088,0.02205,12,"(64, 4, 2, 0.3, 0.001)","[42, 1, 256]"
sasrec-64-4-8-0.3-0.001.yaml,64,4,8,0.3,0.001,42,0.02221,0.0443,12,0.01087,0.02235,12,"(64, 4, 8, 0.3, 0.001)",[42]
sasrec-256-1-2-0.2-0.001.yaml,256,1,2,0.2,0.001,42,0.02228,0.04222,7,0.01086,0.02265,7,"(256, 1, 2, 0.2, 0.001)",[42]
128-2-4-0.3-0.0005-1.yaml,128,2,4,0.3,0.0005,1,0.02328,0.04638,21,0.01084,0.02289,21,"(128, 2, 4, 0.3, 0.0005)","[42, 1, 256]"
sasrec-64-2-2-0.3-0.005.yaml,64,2,2,0.3,0.005,42,0.02148,0.04207,9,0.01082,0.02146,9,"(64, 2, 2, 0.3, 0.005)",[42]
sasrec-256-3-8-0.2-0.0005.yaml,256,3,8,0.2,0.0005,42,0.02418,0.04772,9,0.01082,0.02378,9,"(256, 3, 8, 0.2, 0.0005)",[42]
256-2-2-0.2-0.0005-256.yaml,256,2,2,0.2,0.0005,256,0.02381,0.04683,10,0.01079,0.02348,10,"(256, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-256-1-2-0.3-0.001.yaml,256,1,2,0.3,0.001,42,0.02226,0.04162,10,0.01078,0.02217,10,"(256, 1, 2, 0.3, 0.001)",[42]
64-4-2-0.2-0.001-256.yaml,64,4,2,0.2,0.001,256,0.02317,0.04697,10,0.01076,0.02193,10,"(64, 4, 2, 0.2, 0.001)","[42, 1, 256]"
64-4-4-0.3-0.001-1.yaml,64,4,4,0.3,0.001,1,0.02339,0.04534,12,0.01075,0.02217,12,"(64, 4, 4, 0.3, 0.001)","[42, 1, 256]"
sasrec-128-2-2-0.1-0.0005.yaml,128,2,2,0.1,0.0005,42,0.02347,0.04623,14,0.01075,0.02205,14,"(128, 2, 2, 0.1, 0.0005)",[42]
sasrec-64-3-4-0.3-0.0005.yaml,64,3,4,0.3,0.0005,42,0.02349,0.04549,30,0.01074,0.02271,30,"(64, 3, 4, 0.3, 0.0005)",[42]
128-4-2-0.2-0.0005-1.yaml,128,4,2,0.2,0.0005,1,0.02349,0.04623,11,0.01074,0.02205,11,"(128, 4, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-64-4-2-0.3-0.001.yaml,64,4,2,0.3,0.001,42,0.02357,0.04757,13,0.01073,0.02289,13,"(64, 4, 2, 0.3, 0.001)","[42, 1, 256]"
128-2-4-0.3-0.001-1.yaml,128,2,4,0.3,0.001,1,0.02264,0.04653,8,0.01073,0.02235,8,"(128, 2, 4, 0.3, 0.001)","[42, 1, 256]"
sasrec-64-1-4-0.2-0.005.yaml,64,1,4,0.2,0.005,42,0.02102,0.04252,5,0.01072,0.02217,5,"(64, 1, 4, 0.2, 0.005)",[42]
256-4-4-0.3-0.0005-256.yaml,256,4,4,0.3,0.0005,256,0.02427,0.04742,11,0.01071,0.02259,11,"(256, 4, 4, 0.3, 0.0005)","[1, 256]"
sasrec-128-3-4-0.3-0.0005.yaml,128,3,4,0.3,0.0005,42,0.02363,0.04727,12,0.0107,0.02199,12,"(128, 3, 4, 0.3, 0.0005)",[42]
sasrec-256-3-2-0.3-0.0005.yaml,256,3,2,0.3,0.0005,42,0.02403,0.04906,9,0.0107,0.02312,9,"(256, 3, 2, 0.3, 0.0005)",[42]
128-4-4-0.3-0.0005-1.yaml,128,4,4,0.3,0.0005,1,0.02415,0.04816,12,0.01068,0.02158,12,"(128, 4, 4, 0.3, 0.0005)","[42, 1]"
sasrec-128-1-2-0.3-0.001.yaml,128,1,2,0.3,0.001,42,0.02163,0.04385,13,0.01064,0.02283,13,"(128, 1, 2, 0.3, 0.001)",[42]
sasrec-256-3-8-0.2-0.001.yaml,256,3,8,0.2,0.001,42,0.02341,0.04608,6,0.01064,0.02294,6,"(256, 3, 8, 0.2, 0.001)",[42]
sasrec-64-1-2-0.2-0.01.yaml,64,1,2,0.2,0.01,42,0.02277,0.04326,6,0.01064,0.0214,6,"(64, 1, 2, 0.2, 0.01)",[42]
sasrec-64-3-4-0.2-0.001.yaml,64,3,4,0.2,0.001,42,0.02305,0.04519,13,0.01063,0.02164,13,"(64, 3, 4, 0.2, 0.001)",[42]
sasrec-128-2-2-0.3-0.0005.yaml,128,2,2,0.3,0.0005,42,0.02373,0.04787,16,0.01063,0.02271,16,"(128, 2, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-2-4-0.1-0.0005.yaml,256,2,4,0.1,0.0005,42,0.02323,0.04504,9,0.01063,0.02259,9,"(256, 2, 4, 0.1, 0.0005)",[42]
sasrec-64-4-4-0.2-0.0005.yaml,64,4,4,0.2,0.0005,42,0.02319,0.04519,18,0.01061,0.02075,18,"(64, 4, 4, 0.2, 0.0005)","[42, 1]"
sasrec-256-2-4-0.1-0.001.yaml,256,2,4,0.1,0.001,42,0.02315,0.04653,5,0.01061,0.02294,5,"(256, 2, 4, 0.1, 0.001)",[42]
sasrec-256-2-2-0.1-0.0005.yaml,256,2,2,0.1,0.0005,42,0.02384,0.04445,11,0.01061,0.02187,11,"(256, 2, 2, 0.1, 0.0005)",[42]
sasrec-128-2-8-0.2-0.001.yaml,128,2,8,0.2,0.001,42,0.02286,0.04668,7,0.0106,0.02199,7,"(128, 2, 8, 0.2, 0.001)",[42]
128-2-2-0.2-0.0005-1.yaml,128,2,2,0.2,0.0005,1,0.02381,0.04742,11,0.01059,0.02176,11,"(128, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-64-4-2-0.1-0.0005.yaml,64,4,2,0.1,0.0005,42,0.02363,0.04623,18,0.01059,0.02158,18,"(64, 4, 2, 0.1, 0.0005)",[42]
256-4-2-0.3-0.0005-256.yaml,256,4,2,0.3,0.0005,256,0.02387,0.04757,9,0.01059,0.02253,9,"(256, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-2-4-0.2-0.0005.yaml,256,2,4,0.2,0.0005,42,0.02385,0.04683,10,0.01058,0.02223,10,"(256, 2, 4, 0.2, 0.0005)","[42, 1, 256]"
128-2-4-0.3-0.0005-256.yaml,128,2,4,0.3,0.0005,256,0.0239,0.04772,17,0.01058,0.02247,17,"(128, 2, 4, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-2-2-0.2-0.0005.yaml,256,2,2,0.2,0.0005,42,0.02354,0.04727,9,0.01058,0.02265,9,"(256, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
256-2-2-0.3-0.0005-256.yaml,256,2,2,0.3,0.0005,256,0.02351,0.04757,10,0.01057,0.02265,10,"(256, 2, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-3-4-0.2-0.001.yaml,256,3,4,0.2,0.001,42,0.02377,0.04831,5,0.01055,0.02235,5,"(256, 3, 4, 0.2, 0.001)",[42]
sasrec-128-2-8-0.3-0.0005.yaml,128,2,8,0.3,0.0005,42,0.02233,0.0446,17,0.01055,0.02247,17,"(128, 2, 8, 0.3, 0.0005)",[42]
sasrec-64-4-8-0.1-0.001.yaml,64,4,8,0.1,0.001,42,0.02267,0.044,9,0.01053,0.02134,9,"(64, 4, 8, 0.1, 0.001)",[42]
64-2-4-0.2-0.001-1.yaml,64,2,4,0.2,0.001,1,0.02244,0.0446,12,0.01053,0.02176,12,"(64, 2, 4, 0.2, 0.001)","[42, 1, 256]"
64-2-2-0.3-0.0005-1.yaml,64,2,2,0.3,0.0005,1,0.0226,0.04549,28,0.01052,0.02241,28,"(64, 2, 2, 0.3, 0.0005)","[42, 1]"
sasrec-64-3-4-0.3-0.001.yaml,64,3,4,0.3,0.001,42,0.02242,0.0446,14,0.01051,0.02176,14,"(64, 3, 4, 0.3, 0.001)",[42]
sasrec-64-3-2-0.3-0.0005.yaml,64,3,2,0.3,0.0005,42,0.02375,0.04623,20,0.0105,0.02086,20,"(64, 3, 2, 0.3, 0.0005)",[42]
128-4-4-0.2-0.0005-1.yaml,128,4,4,0.2,0.0005,1,0.02398,0.04712,10,0.0105,0.0211,10,"(128, 4, 4, 0.2, 0.0005)","[42, 1, 256]"
sasrec-256-1-8-0.3-0.001.yaml,256,1,8,0.3,0.001,42,0.02214,0.04341,7,0.01047,0.02223,7,"(256, 1, 8, 0.3, 0.001)",[42]
sasrec-64-4-4-0.3-0.001.yaml,64,4,4,0.3,0.001,42,0.02274,0.04519,13,0.01047,0.02134,13,"(64, 4, 4, 0.3, 0.001)","[42, 1, 256]"
