params,val_epoch,val_epoch__std,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,val_NDCG@10,val_NDCG@10__std,val_Recall@10,val_Recall@10__std,test_NDCG@10,test_NDCG@10__std,test_Recall@10,test_Recall@10__std
"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",14.0,1.0,exponential,0.5,8.0,RMSE,2.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.023036666666666667,0.0014843292536810477,0.04524333333333334,0.0038515494717494313,0.010576666666666665,0.00017243356208503416,0.02136,0.0006060528029800707
"('mean', 0.8, 6, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",17.333333333333332,3.5118845842842465,mean,0.8000000000000002,6.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.02284,0.0003477067730142732,0.04484666666666667,0.0011243368415796622,0.009746666666666666,0.0004954122862155652,0.02009,0.0011144954015158623
"('exponential', 0.65, 6, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",15.0,1.0,exponential,0.65,6.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,True,gemma_short_large_umap_single,0.022746666666666665,0.0005426171148547862,0.04424666666666668,0.0006008604940694065,0.010213333333333333,0.00027300793639257716,0.020843333333333335,0.0007774531068388189
"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",16.666666666666668,2.081665999466133,exponential,0.5,8.0,RMSE,2.0,0.10000000000000002,True,False,False,mean,True,gemma_long_large_umap_single,0.022726666666666662,0.00029670411748631593,0.04405,0.0014549226783578577,0.009976666666666667,0.00038423083339749506,0.019993333333333335,0.00032562759915789343
"('mean', 0.8, 8, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",21.333333333333332,2.5166114784235836,mean,0.8000000000000002,8.0,MSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.02255666666666667,0.0008675444272965699,0.04365666666666667,0.0010533913486132926,0.009986666666666666,0.000332465537061112,0.020583333333333332,0.000768266446835557
"('mean', 0.5, 4, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",14.0,1.0,mean,0.5,4.0,RMSE,2.0,0.10000000000000002,False,True,False,mean,False,gemma_long_large_umap_single,0.02255333333333333,0.0005550975890177631,0.04335666666666666,0.0009586622623913701,0.009763333333333332,0.0006969457176375603,0.02005,0.0014772609789742634
"('exponential', 0.65, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",17.333333333333332,2.5166114784235836,exponential,0.65,8.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,True,gemma_short_large_umap_single,0.02247333333333333,0.0006573684912842514,0.044000000000000004,0.0013649542116862389,0.00992,0.0006717886572427372,0.02023,0.0014129048092493706
"('mean', 0.5, 6, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",22.0,2.6457513110645907,mean,0.5,6.0,MSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_long_large_umap_single,0.022449999999999998,0.0002029778313018433,0.04429666666666667,0.0005352880844305546,0.009826666666666666,0.00041283572196859744,0.02050666666666667,0.0011706977976118924
"('mean', 0.5, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",15.666666666666666,1.1547005383792517,mean,0.5,8.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.022263333333333333,0.0004252450274057692,0.04370333333333334,0.0019972314170704714,0.009833333333333333,4.9328828623162455e-05,0.020426666666666666,0.0006589638330996114
"('mean', 0.8, 6, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",20.0,1.0,mean,0.8000000000000002,6.0,MSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.022166666666666668,0.00032470499431535356,0.04355666666666667,0.0015070611577946444,0.009373333333333332,0.0004908496035786653,0.018863333333333333,0.0012791142768858973
