config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
64-4-4-0.3-0.0005-42.yaml,64,4,4,0.3,0.0005,42,0.0993,0.18394,12,0.05952,0.11433,12,"(64, 4, 4, 0.3, 0.0005)",[42]
64-4-4-0.2-0.00075-42.yaml,64,4,4,0.2,0.00075,42,0.09886,0.18345,8,0.05949,0.11464,8,"(64, 4, 4, 0.2, 0.00075)",[42]
64-4-2-0.3-0.00075-42.yaml,64,4,2,0.3,0.00075,42,0.09864,0.18324,10,0.05924,0.11514,10,"(64, 4, 2, 0.3, 0.00075)",[42]
64-2-2-0.2-0.001-42.yaml,64,2,2,0.2,0.001,42,0.09738,0.1821,5,0.05918,0.11357,5,"(64, 2, 2, 0.2, 0.001)",[42]
64-2-4-0.3-0.00075-42.yaml,64,2,4,0.3,0.00075,42,0.09768,0.18193,8,0.05907,0.11284,8,"(64, 2, 4, 0.3, 0.00075)",[42]
64-4-8-0.3-0.00075-42.yaml,64,4,8,0.3,0.00075,42,0.09864,0.18367,8,0.05906,0.11345,8,"(64, 4, 8, 0.3, 0.00075)",[42]
64-4-8-0.2-0.0005-42.yaml,64,4,8,0.2,0.0005,42,0.09841,0.18231,12,0.05904,0.11437,12,"(64, 4, 8, 0.2, 0.0005)",[42]
64-4-2-0.2-0.001-42.yaml,64,4,2,0.2,0.001,42,0.09924,0.18411,6,0.05897,0.11523,6,"(64, 4, 2, 0.2, 0.001)",[42]
64-4-2-0.2-0.0005-42.yaml,64,4,2,0.2,0.0005,42,0.09867,0.18264,10,0.05896,0.11433,10,"(64, 4, 2, 0.2, 0.0005)",[42]
64-4-2-0.2-0.00075-42.yaml,64,4,2,0.2,0.00075,42,0.09835,0.18384,6,0.05894,0.11429,6,"(64, 4, 2, 0.2, 0.00075)",[42]
64-2-2-0.3-0.001-42.yaml,64,2,2,0.3,0.001,42,0.09756,0.18242,8,0.05894,0.11311,8,"(64, 2, 2, 0.3, 0.001)",[42]
