params,val_epoch,val_epoch__std,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,val_NDCG@10,val_NDCG@10__std,val_Recall@10,val_Recall@10__std,test_NDCG@10,test_NDCG@10__std,test_Recall@10,test_Recall@10__std
"('mean', 0.65, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",17.0,1.0,mean,0.65,8.0,RMSE,2.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.10012666666666666,0.00017925772879665253,0.18497666666666668,0.0011788695149732831,0.059666666666666666,0.0005366873702010633,0.11454333333333333,0.0006687550622861344
"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",16.666666666666668,2.5166114784235836,exponential,0.5,8.0,RMSE,2.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.09998,0.0002787471972953268,0.18428666666666663,0.001005103643080313,0.05911333333333333,0.0014813619859215168,0.11423,0.001899578900704051
"('exponential', 0.65, 8, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",18.666666666666668,1.5275252316519468,exponential,0.65,8.0,RMSE,2.0,0.10000000000000002,False,True,False,mean,True,gemma_short_large_umap_single,0.09981333333333335,0.0005770904030854543,0.1843433333333333,0.001037802164833616,0.05882999999999999,0.0007218725649309596,0.11344666666666665,0.0016228472920559551
"('mean', 0.5, 4, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",16.333333333333332,2.081665999466133,mean,0.5,4.0,RMSE,2.0,0.10000000000000002,False,True,False,mean,False,gemma_long_large_umap_single,0.09975666666666666,0.0001662327685305538,0.1835633333333333,0.0016664433183680018,0.05895,0.0006907242575731663,0.11407666666666666,0.001165175237178223
"('mean', 0.5, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",19.666666666666668,0.5773502691896258,mean,0.5,8.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.09971000000000001,0.0002688865931949712,0.18392333333333333,0.0005368736660829426,0.05948333333333333,0.0006445411804790566,0.11405,0.0018993419913222612
"('mean', 0.8, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",18.666666666666668,1.5275252316519465,mean,0.8000000000000002,6.0,MSE,2.0,0.10000000000000002,False,True,False,mean,True,gemma_long_large_umap_single,0.09961666666666667,0.00024440403706431514,0.18302,0.0003576310948449617,0.05919,0.0006986415389883425,0.11479333333333334,0.0011146449359923224
"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",17.666666666666668,1.5275252316519468,exponential,0.5,8.0,RMSE,2.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.09946666666666666,0.0003061590000854732,0.18365333333333334,0.0008775724091682275,0.05909,0.0002628687885618975,0.11414666666666667,0.00014011899704655917
"('mean', 0.65, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",18.333333333333332,1.5275252316519465,mean,0.65,6.0,MSE,2.0,0.10000000000000002,False,True,False,mean,True,gemma_short_large_umap_single,0.09944333333333333,0.0002764657905299174,0.18347666666666665,0.0009770533932868387,0.05953333333333333,0.0007922331306713503,0.11474333333333335,0.0010464384039843581
"('mean', 0.8, 6, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",19.333333333333332,0.5773502691896258,mean,0.8000000000000002,6.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.09944333333333333,0.00041789153297635694,0.18316333333333332,0.0006293117934166965,0.059673333333333335,0.0005342596122984918,0.11516333333333333,0.0009034009814768524
"('exponential', 0.8, 8, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",18.333333333333332,1.5275252316519468,exponential,0.8000000000000002,8.0,MSE,2.0,0.10000000000000002,False,True,False,mean,True,gemma_long_large_umap_single,0.09944000000000001,0.0003306055050963298,0.18384999999999999,0.0011012265888544566,0.05911333333333333,0.0006101092798288956,0.11364,0.0006366317616958778
"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",18.666666666666668,1.5275252316519465,exponential,0.5,8.0,RMSE,2.0,0.10000000000000002,True,False,False,mean,True,gemma_long_large_umap_single,0.0994,0.00021999999999999797,0.18356333333333333,0.0008030774142841611,0.059386666666666664,0.00029569128044860016,0.11451,0.001004589468389944
"('mean', 0.65, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",19.333333333333332,0.5773502691896258,mean,0.65,6.0,MSE,2.0,0.10000000000000002,False,True,False,mean,False,gemma_long_large_umap_single,0.09938333333333334,0.0007256950691119018,0.18369,0.0005202883815731353,0.05934333333333333,0.0006754504669724728,0.11399666666666668,0.0012362173487430659
"('exponential', 0.8, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",18.0,1.7320508075688772,exponential,0.8000000000000002,8.0,RMSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.09936,0.0003318132004607384,0.18231333333333333,0.0010858330135584036,0.05913666666666667,0.0004944019956809793,0.11408333333333333,0.0006573684912842471
"('exponential', 0.65, 8, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",19.0,1.7320508075688772,exponential,0.65,8.0,MSE,1.0,0.10000000000000002,False,True,False,mean,False,gemma_short_large_umap_single,0.09929,0.0002570992026436514,0.18263666666666667,0.0007050059101407111,0.058743333333333335,0.0006929886963965121,0.11326333333333334,0.0007852600418544955
