config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
256-4-4-0.2-0.00075-1.yaml,256,4,4,0.2,0.00075,1,0.1797,0.28428,99,0.04478,0.07777,99,"(256, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
256-4-8-0.2-0.00075-42.yaml,256,4,8,0.2,0.00075,42,0.17929,0.2849,91,0.04604,0.07896,91,"(256, 4, 8, 0.2, 0.00075)","[42, 1, 256]"
256-4-8-0.2-0.00075-256.yaml,256,4,8,0.2,0.00075,256,0.17889,0.28459,92,0.04084,0.07173,92,"(256, 4, 8, 0.2, 0.00075)","[42, 1, 256]"
256-4-4-0.2-0.00075-256.yaml,256,4,4,0.2,0.00075,256,0.17847,0.28615,96,0.03959,0.07032,96,"(256, 4, 4, 0.2, 0.00075)","[42, 1, 256]"
256-4-2-0.2-0.001-256.yaml,256,4,2,0.2,0.001,256,0.17802,0.28356,100,0.04129,0.07223,100,"(256, 4, 2, 0.2, 0.001)","[42, 1, 256]"
256-4-2-0.2-0.001-1.yaml,256,4,2,0.2,0.001,1,0.17783,0.28419,97,0.04192,0.0738,97,"(256, 4, 2, 0.2, 0.001)","[42, 1, 256]"
256-4-8-0.2-0.00075-1.yaml,256,4,8,0.2,0.00075,1,0.17705,0.28454,96,0.03923,0.07051,96,"(256, 4, 8, 0.2, 0.00075)","[42, 1, 256]"
256-4-2-0.2-0.00075-42.yaml,256,4,2,0.2,0.00075,42,0.17668,0.28258,97,0.03573,0.06428,97,"(256, 4, 2, 0.2, 0.00075)",[42]
256-4-2-0.2-0.001-42.yaml,256,4,2,0.2,0.001,42,0.17651,0.28445,88,0.03679,0.0651,88,"(256, 4, 2, 0.2, 0.001)","[42, 1, 256]"
256-4-8-0.2-0.0005-42.yaml,256,4,8,0.2,0.0005,42,0.17542,0.28044,94,0.03602,0.06531,94,"(256, 4, 8, 0.2, 0.0005)",[42]
256-4-8-0.3-0.0005-42.yaml,256,4,8,0.3,0.0005,42,0.1749,0.2824,97,0.0428,0.07489,97,"(256, 4, 8, 0.3, 0.0005)","[42, 256, 1]"
256-4-2-0.2-0.0005-42.yaml,256,4,2,0.2,0.0005,42,0.17482,0.28026,97,0.03323,0.05974,97,"(256, 4, 2, 0.2, 0.0005)",[42]
256-4-4-0.2-0.0005-42.yaml,256,4,4,0.2,0.0005,42,0.174,0.28222,98,0.03304,0.05968,98,"(256, 4, 4, 0.2, 0.0005)",[42]
256-4-8-0.3-0.0005-1.yaml,256,4,8,0.3,0.0005,1,0.17293,0.27861,98,0.04406,0.07743,98,"(256, 4, 8, 0.3, 0.0005)","[42, 256, 1]"
256-4-2-0.3-0.00075-256.yaml,256,4,2,0.3,0.00075,256,0.17268,0.27866,96,0.04273,0.07611,96,"(256, 4, 2, 0.3, 0.00075)","[42, 1, 256]"
256-4-8-0.3-0.0005-256.yaml,256,4,8,0.3,0.0005,256,0.17251,0.27857,100,0.04318,0.07489,100,"(256, 4, 8, 0.3, 0.0005)","[42, 256, 1]"
256-4-4-0.3-0.0005-256.yaml,256,4,4,0.3,0.0005,256,0.17207,0.27915,97,0.03985,0.07179,97,"(256, 4, 4, 0.3, 0.0005)","[42, 1, 256]"
256-2-8-0.2-0.001-1.yaml,256,2,8,0.2,0.001,1,0.17143,0.27407,100,0.04052,0.07079,100,"(256, 2, 8, 0.2, 0.001)","[42, 256, 1]"
256-2-8-0.2-0.001-42.yaml,256,2,8,0.2,0.001,42,0.17138,0.27563,95,0.04383,0.07749,95,"(256, 2, 8, 0.2, 0.001)","[42, 256, 1]"
256-4-4-0.3-0.0005-1.yaml,256,4,4,0.3,0.0005,1,0.17133,0.27692,97,0.04109,0.07217,97,"(256, 4, 4, 0.3, 0.0005)","[42, 1, 256]"
256-4-4-0.3-0.0005-42.yaml,256,4,4,0.3,0.0005,42,0.17116,0.27692,97,0.03996,0.07067,97,"(256, 4, 4, 0.3, 0.0005)","[42, 1, 256]"
256-2-4-0.2-0.001-42.yaml,256,2,4,0.2,0.001,42,0.17096,0.27287,98,0.03739,0.06685,98,"(256, 2, 4, 0.2, 0.001)","[42, 1, 256]"
256-4-2-0.3-0.00075-1.yaml,256,4,2,0.3,0.00075,1,0.17061,0.27585,92,0.0409,0.07345,92,"(256, 4, 2, 0.3, 0.00075)","[42, 1, 256]"
256-4-2-0.3-0.0005-256.yaml,256,4,2,0.3,0.0005,256,0.17052,0.27683,97,0.03853,0.06904,97,"(256, 4, 2, 0.3, 0.0005)","[42, 256, 1]"
256-2-8-0.2-0.001-256.yaml,256,2,8,0.2,0.001,256,0.1705,0.27371,96,0.04373,0.07589,96,"(256, 2, 8, 0.2, 0.001)","[42, 256, 1]"
256-2-4-0.2-0.00075-1.yaml,256,2,4,0.2,0.00075,1,0.17043,0.27242,99,0.03835,0.06569,99,"(256, 2, 4, 0.2, 0.00075)","[42, 1, 256]"
256-2-8-0.2-0.00075-42.yaml,256,2,8,0.2,0.00075,42,0.17041,0.27336,94,0.04184,0.07192,94,"(256, 2, 8, 0.2, 0.00075)","[42, 1, 256]"
256-4-2-0.3-0.00075-42.yaml,256,4,2,0.3,0.00075,42,0.17009,0.27594,68,0.03872,0.06885,68,"(256, 4, 2, 0.3, 0.00075)","[42, 1, 256]"
