params,val_epoch,val_epoch__std,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,val_NDCG@10,val_NDCG@10__std,val_Recall@10,val_Recall@10__std,test_NDCG@10,test_NDCG@10__std,test_Recall@10,test_Recall@10__std
"('mean', 0.5, 50, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",97.33333333333333,1.5275252316519468,mean,0.5,50.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.16490666666666667,0.00010115993936996193,0.26766666666666666,0.002012022200010057,0.05248333333333333,0.0006361079572944593,0.08912333333333333,0.0007544755352782104
"('mean', 0.5, 70, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",97.33333333333333,0.5773502691896257,mean,0.5,70.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.16158666666666668,0.0008318854087753551,0.2621866666666667,0.0016205348911187759,0.051333333333333335,0.0019158635998769123,0.08710333333333335,0.0028215657591722574
"('attention', 0.8, 30, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",90.66666666666667,5.686240703077327,attention,0.8000000000000002,30.0,MSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.16460333333333335,0.0017165177928974002,0.26698333333333335,0.0024494965469119175,0.05007666666666666,0.0033254523501823545,0.08504333333333332,0.005131572208722524
"('mean', 0.65, 50, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",96.33333333333333,1.1547005383792517,mean,0.65,50.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.16125333333333333,0.002018473020214371,0.26250999999999997,0.0009933780750550052,0.049966666666666666,0.002280730877007048,0.08548,0.0036652012223069015
"('mean', 0.5, 70, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",96.66666666666667,2.0816659994661326,mean,0.5,70.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.16484,0.0007769813382572392,0.26947666666666664,0.0024451039514370885,0.04991666666666667,0.0016783722272884919,0.08653333333333334,0.0020993887999447244
"('mean', 0.5, 50, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",98.66666666666667,1.5275252316519468,mean,0.5,50.0,MSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.16102333333333332,0.0022964392727292658,0.26233,0.003302922947935639,0.04989,0.002689553866350327,0.08599000000000001,0.0050584286097561946
"('mean', 0.65, 70, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",99.0,1.7320508075688772,mean,0.65,70.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.15769333333333332,0.00305977668030419,0.25691,0.003923098265401982,0.04976333333333333,0.0008571075389549033,0.08492666666666666,0.0011737262599658131
"('mean', 0.5, 30, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",99.66666666666667,0.5773502691896257,mean,0.5,30.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.16440999999999997,0.0006518435395092923,0.26950999999999997,0.0024051403285463313,0.049613333333333336,0.0022095323788832175,0.08534666666666667,0.00322926204160228
"('mean', 0.5, 50, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",97.0,2.0,mean,0.5,50.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.16490000000000002,0.0007102112361825934,0.26950999999999997,0.0015604166110369411,0.04946333333333333,0.002385379075395214,0.08569,0.003271345289021021
"('attention', 0.8, 70, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_single')",95.66666666666667,5.8594652770823155,attention,0.8000000000000002,70.0,MSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_single,0.166,0.0001562049935181365,0.27010333333333336,0.0009794045810252985,0.04944666666666667,0.0002893671255228096,0.08533333333333333,0.0011850879010998866
"('exponential', 0.8, 30, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",95.33333333333333,2.5166114784235836,exponential,0.8000000000000002,30.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.16421666666666668,0.0006598737252939569,0.26811,0.0009901515035589145,0.04906,0.001590691673455293,0.08414333333333333,0.003367734154195268
