params,val_epoch,val_epoch__std,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,val_NDCG@10,val_NDCG@10__std,val_Recall@10,val_Recall@10__std,test_NDCG@10,test_NDCG@10__std,test_Recall@10,test_Recall@10__std
"('exponential', 0.8, 30, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",96.66666666666667,2.5166114784235836,exponential,0.8000000000000002,30.0,MSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17950333333333332,0.0006337454799312903,0.28567333333333333,0.0011868585987106382,0.042483333333333324,0.0036252632088350943,0.07408,0.005743944637616209
"('mean', 0.5, 30, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",94.33333333333333,3.511884584284246,mean,0.5,30.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17885666666666666,0.0004411726797222854,0.28472000000000003,0.0017804774640528456,0.04182333333333333,0.0021894595984702087,0.07244,0.0031919273174682372
"('mean', 0.8, 30, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",91.0,5.0,mean,0.8000000000000002,30.0,MSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17861666666666667,0.00047648014998878766,0.28398,0.0006383572667401693,0.04124333333333333,0.0012322878451617293,0.07168999999999999,0.0011234322409473562
"('mean', 0.5, 50, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",94.66666666666667,3.214550253664318,mean,0.5,50.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17860333333333334,0.0005608327142146154,0.28452666666666665,0.0017228561557289961,0.040646666666666664,0.002617638885204247,0.07134333333333333,0.003346181903802201
"('mean', 0.5, 50, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",96.0,3.605551275463989,mean,0.5,50.0,MSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17822333333333332,0.000219620885467058,0.28265333333333337,0.0018629635888372331,0.03893666666666667,0.0036388093290708906,0.06831,0.006010000000000001
"('mean', 0.8, 50, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",94.66666666666667,3.214550253664318,mean,0.8000000000000002,50.0,MSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_umap_single,0.17801333333333336,0.0008805869254839739,0.2827766666666667,0.000825126252965763,0.039823333333333336,0.0010266612553969968,0.06930666666666667,0.002808777907441831
"('attention', 0.5, 70, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'False', 'gemma_short_large_single')",97.33333333333333,2.3094010767585034,attention,0.5,70.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,False,gemma_short_large_single,0.17776666666666666,0.0012351653060757972,0.28340000000000004,0.0018874056267797763,0.03603666666666666,0.0019621756632201242,0.06304,0.0030409373554876173
"('mean', 0.5, 30, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_single')",87.66666666666667,7.571877794400365,mean,0.5,30.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_single,0.17774333333333334,7.637626158258892e-05,0.2827733333333333,0.0006453164598344843,0.04166333333333333,0.0006686055139866392,0.07218000000000001,0.0017125711664044802
"('attention', 0.65, 30, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",96.0,1.7320508075688772,attention,0.65,30.0,MSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.17722333333333337,0.0006381483631048008,0.2824466666666667,0.0005562673218276746,0.03834666666666667,0.004017478479510914,0.06591000000000001,0.007153712322983084
"('attention', 0.8, 30, 'MSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",96.0,1.0,attention,0.8000000000000002,30.0,MSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.17713,0.00034698703145795727,0.28286333333333336,0.0009281343293582786,0.04179333333333333,0.0021164671822008797,0.07101999999999999,0.0036571436941963353
"('attention', 0.8, 30, 'RMSE', 1, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",96.66666666666667,1.5275252316519468,attention,0.8000000000000002,30.0,RMSE,1.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.1768833333333333,0.0008035131195775976,0.2813333333333334,0.00102344190520678,0.04244666666666667,0.0006730032194078525,0.07226333333333333,0.002426444586907625
